OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP
105,105,62,5.154232901,255000,406312.5,25.5,7500,
105,105,57,-1.208208779,245000,389375,25.3,7500,
105,105,75,25.13447896,318000,316875,26.4,8750,
105,105,72,20.02318878,304000,360312.5,26.2,8750,
105,105,67,12.19958243,283000,407718.75,25.9,8750,
105,105,62,5.154232901,262000,448718.75,25.5,8750,
105,105,57,-1.208208779,257000,408593.75,25.4,8750,
115,115,75,15.36478347,278000,303500,28.7,5000,
115,115,72,11.54235461,266000,303175,28.6,5000,
115,115,67,5.691546355,245000,324475,28.5,5000,
115,115,62,0.422749936,224000,354325,28.6,5000,
115,115,57,-4.335340464,207000,364700,28.3,5000,
115,115,75,15.36478347,289000,357625,29,6250,
115,115,72,11.54235461,278000,333906.25,28.9,6250,
115,115,67,5.691546355,256000,379937.5,28.7,6250,
115,115,62,0.422749936,236000,414343.75,28.7,6250,
115,115,57,-4.335340464,223000,405875,28.5,6250,
115,115,75,15.36478347,298000,337675,29.2,7500,
115,115,72,11.54235461,285000,388662.5,29.1,7500,
115,115,67,5.691546355,264000,433437.5,28.9,7500,
115,115,62,0.422749936,243000,470437.5,28.7,7500,
115,115,57,-4.335340464,236000,429462.5,28.5,7500,
115,115,75,15.36478347,305000,392762.5,29.4,8750,
115,115,72,11.54235461,290000,437606.25,29.1,8750,
115,115,67,5.691546355,270000,485975,28.9,8750,
115,115,62,0.422749936,250000,518237.5,28.7,8750,
115,115,57,-4.335340464,247000,449125,28.6,8750,
75,75,75,100,361000,112800,19.6,10000,
75,75,72,86.8608738,346000,140400,19.2,10000,
75,75,67,66.74944445,321000,189300,18.7,10000,
75,75,62,48.63860876,297000,236850,18.2,10000,
75,75,57,32.28326182,291000,257300,18.1,10000,
75,75,75,100,367000,112043.75,19.7,11250,
75,75,72,86.8608738,351000,143568.75,19.3,11250,
75,75,67,66.74944445,326000,198331.25,18.8,11250,
75,75,62,48.63860876,303000,246568.75,18.4,11250,
75,75,57,32.28326182,300000,265181.25,18.3,11250,
75,75,75,100,372000,111937.5,19.8,12500,
